"","Trip.ID","Duration","Start.Date","Start.Station","Start.Terminal","End.Date","End.Station","End.Terminal","Bike..","Subscriber.Type","Zip.Code","Zip_Test","Zip_Val","Zip_Val1"
"120",348510,1329,"7/2/2014 14:42","Embarcadero at Sansome",60,"7/2/2014 15:04","Market at Sansome",77,556,"Customer","90",2,"DISCARD","yes"
"121",348478,1646,"7/2/2014 14:01","Embarcadero at Sansome",60,"7/2/2014 14:28","Embarcadero at Sansome",60,556,"Customer","90",2,"DISCARD","yes"
"122",348431,2427,"7/2/2014 13:19","Market at Sansome",77,"7/2/2014 13:59","Embarcadero at Sansome",60,556,"Customer","90",2,"DISCARD","yes"
"123",347885,892,"7/2/2014 8:30","Mechanics Plaza (Market at Battery)",75,"7/2/2014 8:45","South Van Ness at Market",66,568,"Subscriber","9611",4,"DISCARD","yes"
"124",347093,910,"7/1/2014 17:13","South Van Ness at Market",66,"7/1/2014 17:28","Temporary Transbay Terminal (Howard at Beale)",55,546,"Subscriber","9611",4,"DISCARD","yes"
"125",346893,1243,"7/1/2014 15:55","Powell Street BART",39,"7/1/2014 16:16","Washington at Kearny",46,568,"Customer","9459",4,"DISCARD","yes"
"126",346667,12689,"7/1/2014 11:41","Harry Bridges Plaza (Ferry Building)",50,"7/1/2014 15:13","Powell Street BART",39,339,"Customer","9713",4,"DISCARD","yes"
"127",346666,12691,"7/1/2014 11:41","Harry Bridges Plaza (Ferry Building)",50,"7/1/2014 15:12","Powell Street BART",39,379,"Customer","9713",4,"DISCARD","yes"
"128",346279,826,"7/1/2014 8:30","Mechanics Plaza (Market at Battery)",75,"7/1/2014 8:43","South Van Ness at Market",66,514,"Subscriber","9611",4,"DISCARD","yes"
"129",345433,766,"6/30/2014 17:19","South Van Ness at Market",66,"6/30/2014 17:31","Temporary Transbay Terminal (Howard at Beale)",55,318,"Subscriber","9611",4,"DISCARD","yes"
"130",344610,633,"6/30/2014 8:41","Mechanics Plaza (Market at Battery)",75,"6/30/2014 8:51","South Van Ness at Market",66,314,"Subscriber","9611",4,"DISCARD","yes"
"131",342577,853,"6/27/2014 17:12","South Van Ness at Market",66,"6/27/2014 17:27","Temporary Transbay Terminal (Howard at Beale)",55,417,"Subscriber","9611",4,"DISCARD","yes"
"132",342110,11434,"6/27/2014 12:00","Market at 4th",76,"6/27/2014 15:11","Powell Street BART",39,377,"Customer","9405",4,"DISCARD","yes"
"133",341707,810,"6/27/2014 8:10","Mechanics Plaza (Market at Battery)",75,"6/27/2014 8:24","South Van Ness at Market",66,267,"Subscriber","9611",4,"DISCARD","yes"
"134",341011,799,"6/26/2014 17:10","South Van Ness at Market",66,"6/26/2014 17:24","Temporary Transbay Terminal (Howard at Beale)",55,392,"Subscriber","9611",4,"DISCARD","yes"
"135",340070,709,"6/26/2014 8:24","Mechanics Plaza (Market at Battery)",75,"6/26/2014 8:36","South Van Ness at Market",66,439,"Subscriber","9611",4,"DISCARD","yes"
"136",335776,739,"6/23/2014 17:14","South Van Ness at Market",66,"6/23/2014 17:27","Temporary Transbay Terminal (Howard at Beale)",55,501,"Subscriber","9611",4,"DISCARD","yes"
"137",334959,669,"6/23/2014 8:30","Mechanics Plaza (Market at Battery)",75,"6/23/2014 8:42","South Van Ness at Market",66,559,"Subscriber","9611",4,"DISCARD","yes"
"138",333489,1105,"6/21/2014 1:57","Mountain View Caltrain Station",28,"6/21/2014 2:15","Mountain View Caltrain Station",28,241,"Customer","9512",4,"DISCARD","yes"
"139",333488,1097,"6/21/2014 1:57","Mountain View Caltrain Station",28,"6/21/2014 2:15","Mountain View Caltrain Station",28,662,"Customer","9512",4,"DISCARD","yes"
"140",333088,790,"6/20/2014 17:20","South Van Ness at Market",66,"6/20/2014 17:34","Temporary Transbay Terminal (Howard at Beale)",55,524,"Subscriber","9611",4,"DISCARD","yes"
"141",332222,721,"6/20/2014 8:29","Mechanics Plaza (Market at Battery)",75,"6/20/2014 8:41","South Van Ness at Market",66,376,"Subscriber","9611",4,"DISCARD","yes"
"142",331456,930,"6/19/2014 17:12","South Van Ness at Market",66,"6/19/2014 17:28","Temporary Transbay Terminal (Howard at Beale)",55,370,"Subscriber","9611",4,"DISCARD","yes"
"143",330656,688,"6/19/2014 8:41","Mechanics Plaza (Market at Battery)",75,"6/19/2014 8:52","South Van Ness at Market",66,456,"Subscriber","9611",4,"DISCARD","yes"
"144",330018,744,"6/18/2014 18:02","South Van Ness at Market",66,"6/18/2014 18:15","2nd at Folsom",62,636,"Customer","9405",4,"DISCARD","yes"
"145",329843,832,"6/18/2014 17:16","South Van Ness at Market",66,"6/18/2014 17:30","Temporary Transbay Terminal (Howard at Beale)",55,381,"Subscriber","9611",4,"DISCARD","yes"
"146",329219,547,"6/18/2014 9:39","5th at Howard",57,"6/18/2014 9:48","South Van Ness at Market",66,420,"Customer","9405",4,"DISCARD","yes"
"147",328991,647,"6/18/2014 8:31","Mechanics Plaza (Market at Battery)",75,"6/18/2014 8:42","South Van Ness at Market",66,277,"Subscriber","9611",4,"DISCARD","yes"
"148",328508,360,"6/17/2014 19:17","Market at 4th",76,"6/17/2014 19:23","Temporary Transbay Terminal (Howard at Beale)",55,286,"Subscriber","9611",4,"DISCARD","yes"
"149",327740,235,"6/17/2014 12:47","San Francisco City Hall",58,"6/17/2014 12:51","South Van Ness at Market",66,517,"Subscriber","9611",4,"DISCARD","yes"
"150",327312,731,"6/17/2014 8:36","Mechanics Plaza (Market at Battery)",75,"6/17/2014 8:48","South Van Ness at Market",66,626,"Subscriber","9611",4,"DISCARD","yes"
"151",326426,772,"6/16/2014 17:08","South Van Ness at Market",66,"6/16/2014 17:21","Temporary Transbay Terminal (Howard at Beale)",55,600,"Subscriber","9611",4,"DISCARD","yes"
"152",326102,1367,"6/16/2014 14:14","Broadway St at Battery St",82,"6/16/2014 14:37","Powell at Post (Union Square)",71,561,"Customer","9142",4,"DISCARD","yes"
"153",326022,3955,"6/16/2014 12:37","Embarcadero at Vallejo",48,"6/16/2014 13:43","Embarcadero at Sansome",60,455,"Customer","9142",4,"DISCARD","yes"
